"","x","method","percentage"
"user.self5...176",53.75,"G2","60"
"sys.self5...177",4.946,"G2","60"
"elapsed5...178",61.596,"G2","60"
"user.child5...179",0,"G2","60"
"sys.child5...180",0,"G2","60"
"user.self6...181",82.078,"G2","60"
"sys.self6...182",20.64,"G2","60"
"elapsed6...183",132.607,"G2","60"
"user.child6...184",0,"G2","60"
"sys.child6...185",0,"G2","60"
"user.self7...186",82.478,"G2","60"
"sys.self7...187",20.817,"G2","60"
"elapsed7...188",132.761,"G2","60"
"user.child7...189",0,"G2","60"
"sys.child7...190",0,"G2","60"
"user.self8...191",79.154,"G2","60"
"sys.self8...192",21.248,"G2","60"
"elapsed8...193",128.593,"G2","60"
"user.child8...194",0,"G2","60"
"sys.child8...195",0,"G2","60"
"user.self9...196",38.087,"G2","60"
"sys.self9...197",2.224,"G2","60"
"elapsed9...198",40.941,"G2","60"
"user.child9...199",0,"G2","60"
"sys.child9...200",0,"G2","60"
"user.self...201",86.082,"G3","20"
"sys.self...202",34.745,"G3","20"
"elapsed...203",170.198,"G3","20"
"user.child...204",0,"G3","20"
"sys.child...205",0,"G3","20"
"user.self1...206",67.704,"G3","20"
"sys.self1...207",12.157,"G3","20"
"elapsed1...208",92.8809999999999,"G3","20"
"user.child1...209",0,"G3","20"
"sys.child1...210",0,"G3","20"
"user.self2...211",82.891,"G3","20"
"sys.self2...212",37.088,"G3","20"
"elapsed2...213",174.113,"G3","20"
"user.child2...214",0,"G3","20"
"sys.child2...215",0,"G3","20"
"user.self3...216",95.94,"G3","20"
"sys.self3...217",35.197,"G3","20"
"elapsed3...218",183.577,"G3","20"
"user.child3...219",0,"G3","20"
"sys.child3...220",0,"G3","20"
"user.self4...221",97.5759999999999,"G3","20"
"sys.self4...222",44.733,"G3","20"
"elapsed4...223",203.626,"G3","20"
"user.child4...224",0,"G3","20"
"sys.child4...225",0,"G3","20"
"user.self5...226",58.6669999999999,"G3","20"
"sys.self5...227",4.755,"G3","20"
"elapsed5...228",65.473,"G3","20"
"user.child5...229",0,"G3","20"
"sys.child5...230",0,"G3","20"
"user.self6...231",92.388,"G3","20"
"sys.self6...232",42.099,"G3","20"
"elapsed6...233",194.033,"G3","20"
"user.child6...234",0,"G3","20"
"sys.child6...235",0,"G3","20"
"user.self7...236",94.362,"G3","20"
"sys.self7...237",35.89,"G3","20"
"elapsed7...238",184.285,"G3","20"
"user.child7...239",0,"G3","20"
"sys.child7...240",0,"G3","20"
"user.self8...241",95.008,"G3","20"
"sys.self8...242",34.745,"G3","20"
"elapsed8...243",179.344,"G3","20"
"user.child8...244",0,"G3","20"
"sys.child8...245",0,"G3","20"
"user.self9...246",37.4100000000001,"G3","20"
"sys.self9...247",3.14,"G3","20"
"elapsed9...248",41.521,"G3","20"
"user.child9...249",0,"G3","20"
"sys.child9...250",0,"G3","20"
"user.self...251",93.891,"G3","60"
"sys.self...252",39.341,"G3","60"
"elapsed...253",190.129,"G3","60"
"user.child...254",0,"G3","60"
"sys.child...255",0,"G3","60"
"user.self1...256",77.784,"G3","60"
"sys.self1...257",11.045,"G3","60"
"elapsed1...258",97.7640000000001,"G3","60"
"user.child1...259",0,"G3","60"
"sys.child1...260",0,"G3","60"
"user.self2...261",92.33,"G3","60"
"sys.self2...262",34.207,"G3","60"
"elapsed2...263",179.112,"G3","60"
"user.child2...264",0,"G3","60"
"sys.child2...265",0,"G3","60"
"user.self3...266",87.9689999999999,"G3","60"
"sys.self3...267",32.542,"G3","60"
"elapsed3...268",171.829,"G3","60"
"user.child3...269",0,"G3","60"
"sys.child3...270",0,"G3","60"
"user.self4...271",93.684,"G3","60"
"sys.self4...272",40.134,"G3","60"
"elapsed4...273",191.913,"G3","60"
"user.child4...274",0,"G3","60"
"sys.child4...275",0,"G3","60"
"user.self5...276",53.578,"G3","60"
"sys.self5...277",6.19400000000002,"G3","60"
"elapsed5...278",63.4169999999999,"G3","60"
"user.child5...279",0,"G3","60"
"sys.child5...280",0,"G3","60"
"user.self6...281",91.945,"G3","60"
"sys.self6...282",36.885,"G3","60"
"elapsed6...283",185.165,"G3","60"
"user.child6...284",0,"G3","60"
"sys.child6...285",0,"G3","60"
"user.self7...286",93.41,"G3","60"
"sys.self7...287",34.532,"G3","60"
"elapsed7...288",183.832,"G3","60"
"user.child7...289",0,"G3","60"
"sys.child7...290",0,"G3","60"
"user.self8...291",80.6310000000001,"G3","60"
"sys.self8...292",35.162,"G3","60"
"elapsed8...293",163.357,"G3","60"
"user.child8...294",0,"G3","60"
"sys.child8...295",0,"G3","60"
"user.self9...296",36.872,"G3","60"
"sys.self9...297",3.68600000000001,"G3","60"
"elapsed9...298",41.595,"G3","60"
"user.child9...299",0,"G3","60"
"sys.child9...300",0,"G3","60"
"user.self...301",58.297,"G4","20"
"sys.self...302",20.872,"G4","20"
"elapsed...303",108.076,"G4","20"
"user.child...304",0,"G4","20"
"sys.child...305",0,"G4","20"
"user.self1...306",67.4110000000001,"G4","20"
"sys.self1...307",26,"G4","20"
"elapsed1...308",144.531,"G4","20"
"user.child1...309",0,"G4","20"
"sys.child1...310",0,"G4","20"
"user.self2...311",56.249,"G4","20"
"sys.self2...312",24.366,"G4","20"
"elapsed2...313",116.552,"G4","20"
"user.child2...314",0,"G4","20"
"sys.child2...315",0,"G4","20"
"user.self3...316",64.432,"G4","20"
"sys.self3...317",30.682,"G4","20"
"elapsed3...318",149.847,"G4","20"
"user.child3...319",0,"G4","20"
"sys.child3...320",0,"G4","20"
"user.self4...321",74.3299999999999,"G4","20"
"sys.self4...322",30.91,"G4","20"
"elapsed4...323",164.896,"G4","20"
"user.child4...324",0,"G4","20"
"sys.child4...325",0,"G4","20"
"user.self5...326",68.1099999999999,"G4","20"
"sys.self5...327",12.061,"G4","20"
"elapsed5...328",94.7669999999998,"G4","20"
"user.child5...329",0,"G4","20"
"sys.child5...330",0,"G4","20"
"user.self6...331",73.8879999999999,"G4","20"
"sys.self6...332",35.097,"G4","20"
"elapsed6...333",173.873,"G4","20"
"user.child6...334",0,"G4","20"
"sys.child6...335",0,"G4","20"
"user.self7...336",66.075,"G4","20"
"sys.self7...337",28.333,"G4","20"
"elapsed7...338",150.741,"G4","20"
"user.child7...339",0,"G4","20"
"sys.child7...340",0,"G4","20"
"user.self8...341",61.254,"G4","20"
"sys.self8...342",23.51,"G4","20"
"elapsed8...343",124.442,"G4","20"
"user.child8...344",0,"G4","20"
"sys.child8...345",0,"G4","20"
"user.self9...346",40.773,"G4","20"
"sys.self9...347",3.637,"G4","20"
"elapsed9...348",45.4659999999999,"G4","20"
"user.child9...349",0,"G4","20"
"sys.child9...350",0,"G4","20"
"user.self...351",55.8410000000001,"G4","60"
"sys.self...352",22.615,"G4","60"
"elapsed...353",109.007,"G4","60"
"user.child...354",0,"G4","60"
"sys.child...355",0,"G4","60"
"user.self1...356",73.5220000000002,"G4","60"
"sys.self1...357",36.663,"G4","60"
"elapsed1...358",189.602,"G4","60"
"user.child1...359",0,"G4","60"
"sys.child1...360",0,"G4","60"
"user.self2...361",67.495,"G4","60"
"sys.self2...362",32.46,"G4","60"
"elapsed2...363",163.537,"G4","60"
"user.child2...364",0,"G4","60"
"sys.child2...365",0,"G4","60"
"user.self3...366",69.8530000000001,"G4","60"
"sys.self3...367",41.003,"G4","60"
"elapsed3...368",205.717,"G4","60"
"user.child3...369",0,"G4","60"
"sys.child3...370",0,"G4","60"
"user.self4...371",73.463,"G4","60"
"sys.self4...372",25.139,"G4","60"
"elapsed4...373",148.621,"G4","60"
"user.child4...374",0,"G4","60"
"sys.child4...375",0,"G4","60"
"user.self5...376",62.7660000000001,"G4","60"
"sys.self5...377",19.598,"G4","60"
"elapsed5...378",113.962,"G4","60"
"user.child5...379",0,"G4","60"
"sys.child5...380",0,"G4","60"
"user.self6...381",74.0310000000001,"G4","60"
"sys.self6...382",40.217,"G4","60"
"elapsed6...383",206.451,"G4","60"
"user.child6...384",0,"G4","60"
"sys.child6...385",0,"G4","60"
"user.self7...386",73.747,"G4","60"
"sys.self7...387",38.048,"G4","60"
"elapsed7...388",191.441,"G4","60"
"user.child7...389",0,"G4","60"
"sys.child7...390",0,"G4","60"
"user.self8...391",70.428,"G4","60"
"sys.self8...392",36.37,"G4","60"
"elapsed8...393",169.978,"G4","60"
"user.child8...394",0,"G4","60"
"sys.child8...395",0,"G4","60"
"user.self9...396",34.45,"G4","60"
"sys.self9...397",2.96899999999999,"G4","60"
"elapsed9...398",38.377,"G4","60"
"user.child9...399",0,"G4","60"
"sys.child9...400",0,"G4","60"
"user.self...401",126.721,"G1_G2_together","20"
"sys.self...402",54.606,"G1_G2_together","20"
"elapsed...403",278.759,"G1_G2_together","20"
"user.child...404",0,"G1_G2_together","20"
"sys.child...405",0,"G1_G2_together","20"
"user.self1...406",80.9839999999999,"G1_G2_together","20"
"sys.self1...407",5.882,"G1_G2_together","20"
"elapsed1...408",87.665,"G1_G2_together","20"
"user.child1...409",0,"G1_G2_together","20"
"sys.child1...410",0,"G1_G2_together","20"
"user.self2...411",130.498,"G1_G2_together","20"
"sys.self2...412",38.69,"G1_G2_together","20"
"elapsed2...413",250.637,"G1_G2_together","20"
"user.child2...414",0,"G1_G2_together","20"
"sys.child2...415",0,"G1_G2_together","20"
"user.self3...416",141.995,"G1_G2_together","20"
"sys.self3...417",46.142,"G1_G2_together","20"
"elapsed3...418",266.383,"G1_G2_together","20"
"user.child3...419",0,"G1_G2_together","20"
"sys.child3...420",0,"G1_G2_together","20"
"user.self4...421",121.836,"G1_G2_together","20"
"sys.self4...422",54.072,"G1_G2_together","20"
"elapsed4...423",277.442,"G1_G2_together","20"
"user.child4...424",0,"G1_G2_together","20"
"sys.child4...425",0,"G1_G2_together","20"
"user.self5...426",90.8620000000001,"G1_G2_together","20"
"sys.self5...427",6.56900000000002,"G1_G2_together","20"
"elapsed5...428",98.3089999999997,"G1_G2_together","20"
"user.child5...429",0,"G1_G2_together","20"
"sys.child5...430",0,"G1_G2_together","20"
"user.self6...431",137.979,"G1_G2_together","20"
"sys.self6...432",46.614,"G1_G2_together","20"
"elapsed6...433",267.25,"G1_G2_together","20"
"user.child6...434",0,"G1_G2_together","20"
"sys.child6...435",0,"G1_G2_together","20"
"user.self7...436",136.996,"G1_G2_together","20"
"sys.self7...437",44.045,"G1_G2_together","20"
"elapsed7...438",257.572,"G1_G2_together","20"
"user.child7...439",0,"G1_G2_together","20"
"sys.child7...440",0,"G1_G2_together","20"
"user.self8...441",126.452,"G1_G2_together","20"
"sys.self8...442",54.18,"G1_G2_together","20"
"elapsed8...443",278.265,"G1_G2_together","20"
"user.child8...444",0,"G1_G2_together","20"
"sys.child8...445",0,"G1_G2_together","20"
"user.self9...446",75.3140000000001,"G1_G2_together","20"
"sys.self9...447",6.14499999999998,"G1_G2_together","20"
"elapsed9...448",82.2249999999999,"G1_G2_together","20"
"user.child9...449",0,"G1_G2_together","20"
"sys.child9...450",0,"G1_G2_together","20"
"user.self...451",122.863,"G1_G2_together","60"
"sys.self...452",11.758,"G1_G2_together","60"
"elapsed...453",146.279,"G1_G2_together","60"
"user.child...454",0,"G1_G2_together","60"
"sys.child...455",0,"G1_G2_together","60"
"user.self1...456",83.9000000000001,"G1_G2_together","60"
"sys.self1...457",4.959,"G1_G2_together","60"
"elapsed1...458",90.076,"G1_G2_together","60"
"user.child1...459",0,"G1_G2_together","60"
"sys.child1...460",0,"G1_G2_together","60"
"user.self2...461",124.873,"G1_G2_together","60"
"sys.self2...462",11.67,"G1_G2_together","60"
"elapsed2...463",148.656,"G1_G2_together","60"
"user.child2...464",0,"G1_G2_together","60"
"sys.child2...465",0,"G1_G2_together","60"
"user.self3...466",125.395,"G1_G2_together","60"
"sys.self3...467",13.71,"G1_G2_together","60"
"elapsed3...468",152.148,"G1_G2_together","60"
"user.child3...469",0,"G1_G2_together","60"
"sys.child3...470",0,"G1_G2_together","60"
"user.self4...471",125.696,"G1_G2_together","60"
"sys.self4...472",12.79,"G1_G2_together","60"
"elapsed4...473",151.299,"G1_G2_together","60"
"user.child4...474",0,"G1_G2_together","60"
"sys.child4...475",0,"G1_G2_together","60"
"user.self5...476",77.9080000000001,"G1_G2_together","60"
"sys.self5...477",4.57800000000003,"G1_G2_together","60"
"elapsed5...478",83.0810000000001,"G1_G2_together","60"
"user.child5...479",0,"G1_G2_together","60"
"sys.child5...480",0,"G1_G2_together","60"
"user.self6...481",121.577,"G1_G2_together","60"
"sys.self6...482",13.338,"G1_G2_together","60"
"elapsed6...483",147.247,"G1_G2_together","60"
"user.child6...484",0,"G1_G2_together","60"
"sys.child6...485",0,"G1_G2_together","60"
"user.self7...486",128.464,"G1_G2_together","60"
"sys.self7...487",13.183,"G1_G2_together","60"
"elapsed7...488",154.928,"G1_G2_together","60"
"user.child7...489",0,"G1_G2_together","60"
"sys.child7...490",0,"G1_G2_together","60"
"user.self8...491",116.999,"G1_G2_together","60"
"sys.self8...492",11.842,"G1_G2_together","60"
"elapsed8...493",140.72,"G1_G2_together","60"
"user.child8...494",0,"G1_G2_together","60"
"sys.child8...495",0,"G1_G2_together","60"
"user.self9...496",80.3109999999999,"G1_G2_together","60"
"sys.self9...497",5.38500000000005,"G1_G2_together","60"
"elapsed9...498",86.9279999999999,"G1_G2_together","60"
"user.child9...499",0,"G1_G2_together","60"
"sys.child9...500",0,"G1_G2_together","60"
"user.self...501",109.15,"G1_G3_together","20"
"sys.self...502",52.704,"G1_G3_together","20"
"elapsed...503",310.846,"G1_G3_together","20"
"user.child...504",0,"G1_G3_together","20"
"sys.child...505",0,"G1_G3_together","20"
"user.self1...506",99.51,"G1_G3_together","20"
"sys.self1...507",14.91,"G1_G3_together","20"
"elapsed1...508",121.51,"G1_G3_together","20"
"user.child1...509",0,"G1_G3_together","20"
"sys.child1...510",0,"G1_G3_together","20"
"user.self2...511",116.203,"G1_G3_together","20"
"sys.self2...512",50.984,"G1_G3_together","20"
"elapsed2...513",339.913,"G1_G3_together","20"
"user.child2...514",0,"G1_G3_together","20"
"sys.child2...515",0,"G1_G3_together","20"
"user.self3...516",98.442,"G1_G3_together","20"
"sys.self3...517",36.196,"G1_G3_together","20"
"elapsed3...518",227.233,"G1_G3_together","20"
"user.child3...519",0,"G1_G3_together","20"
"sys.child3...520",0,"G1_G3_together","20"
"user.self4...521",119.988,"G1_G3_together","20"
"sys.self4...522",55.491,"G1_G3_together","20"
"elapsed4...523",352.432000000001,"G1_G3_together","20"
"user.child4...524",0,"G1_G3_together","20"
"sys.child4...525",0,"G1_G3_together","20"
"user.self5...526",81.8139999999999,"G1_G3_together","20"
"sys.self5...527",9.644,"G1_G3_together","20"
"elapsed5...528",93.3719999999994,"G1_G3_together","20"
"user.child5...529",0,"G1_G3_together","20"
"sys.child5...530",0,"G1_G3_together","20"
"user.self6...531",116.926,"G1_G3_together","20"
"sys.self6...532",39.096,"G1_G3_together","20"
"elapsed6...533",244.805,"G1_G3_together","20"
"user.child6...534",0,"G1_G3_together","20"
"sys.child6...535",0,"G1_G3_together","20"
"user.self7...536",122.656,"G1_G3_together","20"
"sys.self7...537",56.046,"G1_G3_together","20"
"elapsed7...538",357.116,"G1_G3_together","20"
"user.child7...539",0,"G1_G3_together","20"
"sys.child7...540",0,"G1_G3_together","20"
"user.self8...541",97.7,"G1_G3_together","20"
"sys.self8...542",46.439,"G1_G3_together","20"
"elapsed8...543",277.48,"G1_G3_together","20"
"user.child8...544",0,"G1_G3_together","20"
"sys.child8...545",0,"G1_G3_together","20"
"user.self9...546",106.445,"G1_G3_together","20"
"sys.self9...547",31.2140000000001,"G1_G3_together","20"
"elapsed9...548",167.316,"G1_G3_together","20"
"user.child9...549",0,"G1_G3_together","20"
"sys.child9...550",0,"G1_G3_together","20"
"user.self...551",140.802,"G1_G3_together","60"
"sys.self...552",18.798,"G1_G3_together","60"
"elapsed...553",183.738,"G1_G3_together","60"
"user.child...554",0,"G1_G3_together","60"
"sys.child...555",0,"G1_G3_together","60"
"user.self1...556",99.375,"G1_G3_together","60"
"sys.self1...557",6.81599999999992,"G1_G3_together","60"
"elapsed1...558",108.272,"G1_G3_together","60"
"user.child1...559",0,"G1_G3_together","60"
"sys.child1...560",0,"G1_G3_together","60"
"user.self2...561",131.845,"G1_G3_together","60"
"sys.self2...562",21.2,"G1_G3_together","60"
"elapsed2...563",179.846,"G1_G3_together","60"
"user.child2...564",0,"G1_G3_together","60"
"sys.child2...565",0,"G1_G3_together","60"
"user.self3...566",130.44,"G1_G3_together","60"
"sys.self3...567",19.626,"G1_G3_together","60"
"elapsed3...568",176.703,"G1_G3_together","60"
"user.child3...569",0,"G1_G3_together","60"
"sys.child3...570",0,"G1_G3_together","60"
"user.self4...571",127.013,"G1_G3_together","60"
"sys.self4...572",17.654,"G1_G3_together","60"
"elapsed4...573",168.192,"G1_G3_together","60"
"user.child4...574",0,"G1_G3_together","60"
"sys.child4...575",0,"G1_G3_together","60"
"user.self5...576",97.5129999999999,"G1_G3_together","60"
"sys.self5...577",7.64500000000004,"G1_G3_together","60"
"elapsed5...578",108.379000000001,"G1_G3_together","60"
"user.child5...579",0,"G1_G3_together","60"
"sys.child5...580",0,"G1_G3_together","60"
"user.self6...581",160.343,"G1_G3_together","60"
"sys.self6...582",21.881,"G1_G3_together","60"
"elapsed6...583",207.629,"G1_G3_together","60"
"user.child6...584",0,"G1_G3_together","60"
"sys.child6...585",0,"G1_G3_together","60"
"user.self7...586",157.164,"G1_G3_together","60"
"sys.self7...587",26.09,"G1_G3_together","60"
"elapsed7...588",213.429,"G1_G3_together","60"
"user.child7...589",0,"G1_G3_together","60"
"sys.child7...590",0,"G1_G3_together","60"
"user.self8...591",138.653,"G1_G3_together","60"
"sys.self8...592",20.056,"G1_G3_together","60"
"elapsed8...593",185.898,"G1_G3_together","60"
"user.child8...594",0,"G1_G3_together","60"
"sys.child8...595",0,"G1_G3_together","60"
"user.self9...596",80.1410000000001,"G1_G3_together","60"
"sys.self9...597",5.65899999999999,"G1_G3_together","60"
"elapsed9...598",87.3190000000004,"G1_G3_together","60"
"user.child9...599",0,"G1_G3_together","60"
"sys.child9...600",0,"G1_G3_together","60"
"user.self...601",192.399,"all_together","20"
"sys.self...602",78.0619999999999,"all_together","20"
"elapsed...603",443.321,"all_together","20"
"user.child...604",0,"all_together","20"
"sys.child...605",0,"all_together","20"
"user.self1...606",193.326,"all_together","20"
"sys.self1...607",18.3249999999999,"all_together","20"
"elapsed1...608",213.789,"all_together","20"
"user.child1...609",0,"all_together","20"
"sys.child1...610",0,"all_together","20"
"user.self2...611",220.603,"all_together","20"
"sys.self2...612",84.462,"all_together","20"
"elapsed2...613",475.902,"all_together","20"
"user.child2...614",0,"all_together","20"
"sys.child2...615",0,"all_together","20"
"user.self3...616",244.883,"all_together","20"
"sys.self3...617",61.066,"all_together","20"
"elapsed3...618",403.385,"all_together","20"
"user.child3...619",0,"all_together","20"
"sys.child3...620",0,"all_together","20"
"user.self4...621",211.183,"all_together","20"
"sys.self4...622",87.8330000000001,"all_together","20"
"elapsed4...623",474.571000000001,"all_together","20"
"user.child4...624",0,"all_together","20"
"sys.child4...625",0,"all_together","20"
"user.self5...626",144.145,"all_together","20"
"sys.self5...627",13.239,"all_together","20"
"elapsed5...628",158.539,"all_together","20"
"user.child5...629",0,"all_together","20"
"sys.child5...630",0,"all_together","20"
"user.self6...631",267.715,"all_together","20"
"sys.self6...632",62.915,"all_together","20"
"elapsed6...633",439.27,"all_together","20"
"user.child6...634",0,"all_together","20"
"sys.child6...635",0,"all_together","20"
"user.self7...636",262.266,"all_together","20"
"sys.self7...637",65.583,"all_together","20"
"elapsed7...638",434.027,"all_together","20"
"user.child7...639",0,"all_together","20"
"sys.child7...640",0,"all_together","20"
"user.self8...641",216.987,"all_together","20"
"sys.self8...642",88.84,"all_together","20"
"elapsed8...643",476.768,"all_together","20"
"user.child8...644",0,"all_together","20"
"sys.child8...645",0,"all_together","20"
"user.self9...646",142.713,"all_together","20"
"sys.self9...647",13.391,"all_together","20"
"elapsed9...648",157.094999999999,"all_together","20"
"user.child9...649",0,"all_together","20"
"sys.child9...650",0,"all_together","20"
"user.self...651",277.16,"all_together","60"
"sys.self...652",30.058,"all_together","60"
"elapsed...653",330.179999999999,"all_together","60"
"user.child...654",0,"all_together","60"
"sys.child...655",0,"all_together","60"
"user.self1...656",206.985,"all_together","60"
"sys.self1...657",12.814,"all_together","60"
"elapsed1...658",225.823,"all_together","60"
"user.child1...659",0,"all_together","60"
"sys.child1...660",0,"all_together","60"
"user.self2...661",257.283,"all_together","60"
"sys.self2...662",29.987,"all_together","60"
"elapsed2...663",308.275,"all_together","60"
"user.child2...664",0,"all_together","60"
"sys.child2...665",0,"all_together","60"
"user.self3...666",229.649,"all_together","60"
"sys.self3...667",22.48,"all_together","60"
"elapsed3...668",270.386,"all_together","60"
"user.child3...669",0,"all_together","60"
"sys.child3...670",0,"all_together","60"
"user.self4...671",216.834,"all_together","60"
"sys.self4...672",21.981,"all_together","60"
"elapsed4...673",256.407,"all_together","60"
"user.child4...674",0,"all_together","60"
"sys.child4...675",0,"all_together","60"
"user.self5...676",179.051,"all_together","60"
"sys.self5...677",16.646,"all_together","60"
"elapsed5...678",206.154,"all_together","60"
