"","x","method","percentage"
"user.child4...124",0,"G2","20"
"sys.child4...125",0,"G2","20"
"user.self5...126",21.001,"G2","20"
"sys.self5...127",1.086,"G2","20"
"elapsed5...128",22.827,"G2","20"
"user.child5...129",0,"G2","20"
"sys.child5...130",0,"G2","20"
"user.self6...131",27.454,"G2","20"
"sys.self6...132",3.144,"G2","20"
"elapsed6...133",35.174,"G2","20"
"user.child6...134",0,"G2","20"
"sys.child6...135",0,"G2","20"
"user.self7...136",26.958,"G2","20"
"sys.self7...137",2.643,"G2","20"
"elapsed7...138",33.687,"G2","20"
"user.child7...139",0,"G2","20"
"sys.child7...140",0,"G2","20"
"user.self8...141",25.606,"G2","20"
"sys.self8...142",2.512,"G2","20"
"elapsed8...143",31.467,"G2","20"
"user.child8...144",0,"G2","20"
"sys.child8...145",0,"G2","20"
"user.self9...146",16.666,"G2","20"
"sys.self9...147",0.661999999999999,"G2","20"
"elapsed9...148",17.481,"G2","20"
"user.child9...149",0,"G2","20"
"sys.child9...150",0,"G2","20"
"user.self...151",30.492,"G2","60"
"sys.self...152",4.395,"G2","60"
"elapsed...153",40.57,"G2","60"
"user.child...154",0,"G2","60"
"sys.child...155",0,"G2","60"
"user.self1...156",59.566,"G2","60"
"sys.self1...157",1.279,"G2","60"
"elapsed1...158",61.509,"G2","60"
"user.child1...159",0,"G2","60"
"sys.child1...160",0,"G2","60"
"user.self2...161",24.99,"G2","60"
"sys.self2...162",3.755,"G2","60"
"elapsed2...163",33.521,"G2","60"
"user.child2...164",0,"G2","60"
"sys.child2...165",0,"G2","60"
"user.self3...166",26.391,"G2","60"
"sys.self3...167",4.526,"G2","60"
"elapsed3...168",36.725,"G2","60"
"user.child3...169",0,"G2","60"
"sys.child3...170",0,"G2","60"
"user.self4...171",27.202,"G2","60"
"sys.self4...172",3.93,"G2","60"
"elapsed4...173",36.518,"G2","60"
"user.child4...174",0,"G2","60"
"sys.child4...175",0,"G2","60"
"user.self5...176",17.456,"G2","60"
"sys.self5...177",0.924,"G2","60"
"elapsed5...178",18.821,"G2","60"
"user.child5...179",0,"G2","60"
"sys.child5...180",0,"G2","60"
"user.self6...181",26.85,"G2","60"
"sys.self6...182",2.975,"G2","60"
"elapsed6...183",34.486,"G2","60"
"user.child6...184",0,"G2","60"
"sys.child6...185",0,"G2","60"
"user.self7...186",26.387,"G2","60"
"sys.self7...187",3.703,"G2","60"
"elapsed7...188",34.807,"G2","60"
"user.child7...189",0,"G2","60"
"sys.child7...190",0,"G2","60"
"user.self8...191",23.235,"G2","60"
"sys.self8...192",2.721,"G2","60"
"elapsed8...193",29.577,"G2","60"
"user.child8...194",0,"G2","60"
"sys.child8...195",0,"G2","60"
"user.self9...196",12.531,"G2","60"
"sys.self9...197",0.49,"G2","60"
"elapsed9...198",13.167,"G2","60"
"user.child9...199",0,"G2","60"
"sys.child9...200",0,"G2","60"
"user.self...201",33.775,"G3","20"
"sys.self...202",18.835,"G3","20"
"elapsed...203",73.0749999999999,"G3","20"
"user.child...204",0,"G3","20"
"sys.child...205",0,"G3","20"
"user.self1...206",24.535,"G3","20"
"sys.self1...207",6.214,"G3","20"
"elapsed1...208",35.074,"G3","20"
"user.child1...209",0,"G3","20"
"sys.child1...210",0,"G3","20"
"user.self2...211",32.498,"G3","20"
"sys.self2...212",15.883,"G3","20"
"elapsed2...213",66.1840000000001,"G3","20"
"user.child2...214",0,"G3","20"
"sys.child2...215",0,"G3","20"
"user.self3...216",43.055,"G3","20"
"sys.self3...217",20.96,"G3","20"
"elapsed3...218",87.02,"G3","20"
"user.child3...219",0,"G3","20"
"sys.child3...220",0,"G3","20"
"user.self4...221",37.267,"G3","20"
"sys.self4...222",18.645,"G3","20"
"elapsed4...223",76.605,"G3","20"
"user.child4...224",0,"G3","20"
"sys.child4...225",0,"G3","20"
"user.self5...226",25.368,"G3","20"
"sys.self5...227",3.454,"G3","20"
"elapsed5...228",30.967,"G3","20"
"user.child5...229",0,"G3","20"
"sys.child5...230",0,"G3","20"
"user.self6...231",37.352,"G3","20"
"sys.self6...232",16.992,"G3","20"
"elapsed6...233",73.611,"G3","20"
"user.child6...234",0,"G3","20"
"sys.child6...235",0,"G3","20"
"user.self7...236",34.134,"G3","20"
"sys.self7...237",17.827,"G3","20"
"elapsed7...238",71.588,"G3","20"
"user.child7...239",0,"G3","20"
"sys.child7...240",0,"G3","20"
"user.self8...241",33.604,"G3","20"
"sys.self8...242",15.855,"G3","20"
"elapsed8...243",66.371,"G3","20"
"user.child8...244",0,"G3","20"
"sys.child8...245",0,"G3","20"
"user.self9...246",16.479,"G3","20"
"sys.self9...247",1.912,"G3","20"
"elapsed9...248",18.971,"G3","20"
"user.child9...249",0,"G3","20"
"sys.child9...250",0,"G3","20"
"user.self...251",36.153,"G3","60"
"sys.self...252",16.389,"G3","60"
"elapsed...253",70.466,"G3","60"
"user.child...254",0,"G3","60"
"sys.child...255",0,"G3","60"
"user.self1...256",29.127,"G3","60"
"sys.self1...257",9.444,"G3","60"
"elapsed1...258",44.543,"G3","60"
"user.child1...259",0,"G3","60"
"sys.child1...260",0,"G3","60"
"user.self2...261",31.442,"G3","60"
"sys.self2...262",13.596,"G3","60"
"elapsed2...263",59.81,"G3","60"
"user.child2...264",0,"G3","60"
"sys.child2...265",0,"G3","60"
"user.self3...266",31.365,"G3","60"
"sys.self3...267",15.349,"G3","60"
"elapsed3...268",63.8259999999999,"G3","60"
"user.child3...269",0,"G3","60"
"sys.child3...270",0,"G3","60"
"user.self4...271",33.805,"G3","60"
"sys.self4...272",15.969,"G3","60"
"elapsed4...273",67.13,"G3","60"
"user.child4...274",0,"G3","60"
"sys.child4...275",0,"G3","60"
"user.self5...276",21.862,"G3","60"
"sys.self5...277",5.163,"G3","60"
"elapsed5...278",30.282,"G3","60"
"user.child5...279",0,"G3","60"
"sys.child5...280",0,"G3","60"
"user.self6...281",32.942,"G3","60"
"sys.self6...282",16.611,"G3","60"
"elapsed6...283",67.149,"G3","60"
"user.child6...284",0,"G3","60"
"sys.child6...285",0,"G3","60"
"user.self7...286",32.368,"G3","60"
"sys.self7...287",15.076,"G3","60"
"elapsed7...288",63.837,"G3","60"
"user.child7...289",0,"G3","60"
"sys.child7...290",0,"G3","60"
"user.self8...291",27.362,"G3","60"
"sys.self8...292",13.418,"G3","60"
"elapsed8...293",51.6220000000001,"G3","60"
"user.child8...294",0,"G3","60"
"sys.child8...295",0,"G3","60"
"user.self9...296",13.425,"G3","60"
"sys.self9...297",2.09399999999999,"G3","60"
"elapsed9...298",16.15,"G3","60"
"user.child9...299",0,"G3","60"
"sys.child9...300",0,"G3","60"
"user.self...301",24.701,"G4","20"
"sys.self...302",9.27199999999999,"G4","20"
"elapsed...303",41.437,"G4","20"
"user.child...304",0,"G4","20"
"sys.child...305",0,"G4","20"
"user.self1...306",29.595,"G4","20"
"sys.self1...307",13.441,"G4","20"
"elapsed1...308",56.7250000000001,"G4","20"
"user.child1...309",0,"G4","20"
"sys.child1...310",0,"G4","20"
"user.self2...311",26.389,"G4","20"
"sys.self2...312",11.539,"G4","20"
"elapsed2...313",48.8729999999999,"G4","20"
"user.child2...314",0,"G4","20"
"sys.child2...315",0,"G4","20"
"user.self3...316",32.407,"G4","20"
"sys.self3...317",13.384,"G4","20"
"elapsed3...318",60.0199999999999,"G4","20"
"user.child3...319",0,"G4","20"
"sys.child3...320",0,"G4","20"
"user.self4...321",33.085,"G4","20"
"sys.self4...322",13.839,"G4","20"
"elapsed4...323",62.7560000000001,"G4","20"
"user.child4...324",0,"G4","20"
"sys.child4...325",0,"G4","20"
"user.self5...326",20.804,"G4","20"
"sys.self5...327",4.69800000000001,"G4","20"
"elapsed5...328",28.5740000000001,"G4","20"
"user.child5...329",0,"G4","20"
"sys.child5...330",0,"G4","20"
"user.self6...331",31.916,"G4","20"
"sys.self6...332",13.762,"G4","20"
"elapsed6...333",61.0620000000001,"G4","20"
"user.child6...334",0,"G4","20"
"sys.child6...335",0,"G4","20"
"user.self7...336",30.126,"G4","20"
"sys.self7...337",13.013,"G4","20"
"elapsed7...338",57.3220000000001,"G4","20"
"user.child7...339",0,"G4","20"
"sys.child7...340",0,"G4","20"
"user.self8...341",25.672,"G4","20"
"sys.self8...342",11.963,"G4","20"
"elapsed8...343",48.9750000000001,"G4","20"
"user.child8...344",0,"G4","20"
"sys.child8...345",0,"G4","20"
"user.self9...346",14.384,"G4","20"
"sys.self9...347",1.32299999999999,"G4","20"
"elapsed9...348",16.123,"G4","20"
"user.child9...349",0,"G4","20"
"sys.child9...350",0,"G4","20"
"user.self...351",28.5699999999999,"G4","60"
"sys.self...352",17,"G4","60"
"elapsed...353",66.538,"G4","60"
"user.child...354",0,"G4","60"
"sys.child...355",0,"G4","60"
"user.self1...356",22.909,"G4","60"
"sys.self1...357",11.759,"G4","60"
"elapsed1...358",44.1189999999999,"G4","60"
"user.child1...359",0,"G4","60"
"sys.child1...360",0,"G4","60"
"user.self2...361",28.713,"G4","60"
"sys.self2...362",16.387,"G4","60"
"elapsed2...363",66.2750000000001,"G4","60"
"user.child2...364",0,"G4","60"
"sys.child2...365",0,"G4","60"
"user.self3...366",30.162,"G4","60"
"sys.self3...367",16.982,"G4","60"
"elapsed3...368",70.8050000000001,"G4","60"
"user.child3...369",0,"G4","60"
"sys.child3...370",0,"G4","60"
"user.self4...371",34.372,"G4","60"
"sys.self4...372",19.82,"G4","60"
"elapsed4...373",79.7330000000002,"G4","60"
"user.child4...374",0,"G4","60"
"sys.child4...375",0,"G4","60"
"user.self5...376",19.217,"G4","60"
"sys.self5...377",6.11700000000002,"G4","60"
"elapsed5...378",28.701,"G4","60"
"user.child5...379",0,"G4","60"
"sys.child5...380",0,"G4","60"
"user.self6...381",30.472,"G4","60"
"sys.self6...382",18.239,"G4","60"
"elapsed6...383",71.548,"G4","60"
"user.child6...384",0,"G4","60"
"sys.child6...385",0,"G4","60"
"user.self7...386",36.067,"G4","60"
"sys.self7...387",18.965,"G4","60"
"elapsed7...388",75.7839999999999,"G4","60"
"user.child7...389",0,"G4","60"
"sys.child7...390",0,"G4","60"
"user.self8...391",29.343,"G4","60"
"sys.self8...392",16.161,"G4","60"
"elapsed8...393",61.682,"G4","60"
"user.child8...394",0,"G4","60"
"sys.child8...395",0,"G4","60"
"user.self9...396",14.998,"G4","60"
"sys.self9...397",2.84399999999999,"G4","60"
"elapsed9...398",18.7549999999999,"G4","60"
"user.child9...399",0,"G4","60"
"sys.child9...400",0,"G4","60"
"user.self...401",49.6800000000001,"G1_G2_together","20"
"sys.self...402",22.281,"G1_G2_together","20"
"elapsed...403",102.534,"G1_G2_together","20"
"user.child...404",0,"G1_G2_together","20"
"sys.child...405",0,"G1_G2_together","20"
"user.self1...406",30.6899999999999,"G1_G2_together","20"
"sys.self1...407",2.40400000000002,"G1_G2_together","20"
"elapsed1...408",33.385,"G1_G2_together","20"
"user.child1...409",0,"G1_G2_together","20"
"sys.child1...410",0,"G1_G2_together","20"
"user.self2...411",53.014,"G1_G2_together","20"
"sys.self2...412",17.592,"G1_G2_together","20"
"elapsed2...413",96.7649999999999,"G1_G2_together","20"
"user.child2...414",0,"G1_G2_together","20"
"sys.child2...415",0,"G1_G2_together","20"
"user.self3...416",55.137,"G1_G2_together","20"
"sys.self3...417",19.479,"G1_G2_together","20"
"elapsed3...418",101.141,"G1_G2_together","20"
"user.child3...419",0,"G1_G2_together","20"
"sys.child3...420",0,"G1_G2_together","20"
"user.self4...421",49.492,"G1_G2_together","20"
"sys.self4...422",22.313,"G1_G2_together","20"
"elapsed4...423",103.477,"G1_G2_together","20"
"user.child4...424",0,"G1_G2_together","20"
"sys.child4...425",0,"G1_G2_together","20"
"user.self5...426",33.937,"G1_G2_together","20"
"sys.self5...427",2.535,"G1_G2_together","20"
"elapsed5...428",36.8019999999999,"G1_G2_together","20"
"user.child5...429",0,"G1_G2_together","20"
"sys.child5...430",0,"G1_G2_together","20"
"user.self6...431",56.163,"G1_G2_together","20"
"sys.self6...432",20.039,"G1_G2_together","20"
"elapsed6...433",105.108,"G1_G2_together","20"
"user.child6...434",0,"G1_G2_together","20"
"sys.child6...435",0,"G1_G2_together","20"
"user.self7...436",52.675,"G1_G2_together","20"
"sys.self7...437",19.115,"G1_G2_together","20"
"elapsed7...438",98.8880000000001,"G1_G2_together","20"
"user.child7...439",0,"G1_G2_together","20"
"sys.child7...440",0,"G1_G2_together","20"
"user.self8...441",51.154,"G1_G2_together","20"
"sys.self8...442",23.237,"G1_G2_together","20"
"elapsed8...443",106.113,"G1_G2_together","20"
"user.child8...444",0,"G1_G2_together","20"
"sys.child8...445",0,"G1_G2_together","20"
"user.self9...446",27.3829999999999,"G1_G2_together","20"
"sys.self9...447",2.27500000000001,"G1_G2_together","20"
"elapsed9...448",29.874,"G1_G2_together","20"
"user.child9...449",0,"G1_G2_together","20"
"sys.child9...450",0,"G1_G2_together","20"
"user.self...451",40.285,"G1_G2_together","60"
"sys.self...452",2.95699999999999,"G1_G2_together","60"
"elapsed...453",46.1789999999999,"G1_G2_together","60"
"user.child...454",0,"G1_G2_together","60"
"sys.child...455",0,"G1_G2_together","60"
"user.self1...456",33.458,"G1_G2_together","60"
"sys.self1...457",1.749,"G1_G2_together","60"
"elapsed1...458",35.74,"G1_G2_together","60"
"user.child1...459",0,"G1_G2_together","60"
"sys.child1...460",0,"G1_G2_together","60"
"user.self2...461",40.856,"G1_G2_together","60"
"sys.self2...462",2.67700000000001,"G1_G2_together","60"
"elapsed2...463",46.4639999999999,"G1_G2_together","60"
"user.child2...464",0,"G1_G2_together","60"
"sys.child2...465",0,"G1_G2_together","60"
"user.self3...466",42.47,"G1_G2_together","60"
"sys.self3...467",3.04400000000001,"G1_G2_together","60"
"elapsed3...468",48.759,"G1_G2_together","60"
"user.child3...469",0,"G1_G2_together","60"
"sys.child3...470",0,"G1_G2_together","60"
"user.self4...471",41.847,"G1_G2_together","60"
"sys.self4...472",2.91,"G1_G2_together","60"
"elapsed4...473",47.874,"G1_G2_together","60"
"user.child4...474",0,"G1_G2_together","60"
"sys.child4...475",0,"G1_G2_together","60"
"user.self5...476",31.356,"G1_G2_together","60"
"sys.self5...477",1.42400000000001,"G1_G2_together","60"
"elapsed5...478",32.9409999999998,"G1_G2_together","60"
"user.child5...479",0,"G1_G2_together","60"
"sys.child5...480",0,"G1_G2_together","60"
"user.self6...481",39.946,"G1_G2_together","60"
"sys.self6...482",2.868,"G1_G2_together","60"
"elapsed6...483",45.8409999999999,"G1_G2_together","60"
"user.child6...484",0,"G1_G2_together","60"
"sys.child6...485",0,"G1_G2_together","60"
"user.self7...486",44.579,"G1_G2_together","60"
"sys.self7...487",2.70699999999999,"G1_G2_together","60"
"elapsed7...488",50.3710000000001,"G1_G2_together","60"
"user.child7...489",0,"G1_G2_together","60"
"sys.child7...490",0,"G1_G2_together","60"
"user.self8...491",38.849,"G1_G2_together","60"
"sys.self8...492",2.785,"G1_G2_together","60"
"elapsed8...493",44.5700000000002,"G1_G2_together","60"
"user.child8...494",0,"G1_G2_together","60"
"sys.child8...495",0,"G1_G2_together","60"
"user.self9...496",31.608,"G1_G2_together","60"
"sys.self9...497",1.768,"G1_G2_together","60"
"elapsed9...498",33.7570000000001,"G1_G2_together","60"
"user.child9...499",0,"G1_G2_together","60"
"sys.child9...500",0,"G1_G2_together","60"
"user.self...501",41.4589999999999,"G1_G3_together","20"
"sys.self...502",22.505,"G1_G3_together","20"
"elapsed...503",154.972,"G1_G3_together","20"
"user.child...504",0,"G1_G3_together","20"
"sys.child...505",0,"G1_G3_together","20"
"user.self1...506",36.471,"G1_G3_together","20"
"sys.self1...507",5.02000000000001,"G1_G3_together","20"
"elapsed1...508",42.328,"G1_G3_together","20"
"user.child1...509",0,"G1_G3_together","20"
"sys.child1...510",0,"G1_G3_together","20"
"user.self2...511",37.594,"G1_G3_together","20"
"sys.self2...512",15.111,"G1_G3_together","20"
"elapsed2...513",96.645,"G1_G3_together","20"
"user.child2...514",0,"G1_G3_together","20"
"sys.child2...515",0,"G1_G3_together","20"
"user.self3...516",39.643,"G1_G3_together","20"
"sys.self3...517",16.739,"G1_G3_together","20"
"elapsed3...518",104.831,"G1_G3_together","20"
"user.child3...519",0,"G1_G3_together","20"
"sys.child3...520",0,"G1_G3_together","20"
"user.self4...521",43.489,"G1_G3_together","20"
"sys.self4...522",21.98,"G1_G3_together","20"
"elapsed4...523",159.363,"G1_G3_together","20"
"user.child4...524",0,"G1_G3_together","20"
"sys.child4...525",0,"G1_G3_together","20"
"user.self5...526",33,"G1_G3_together","20"
"sys.self5...527",3.31199999999998,"G1_G3_together","20"
"elapsed5...528",36.8579999999997,"G1_G3_together","20"
"user.child5...529",0,"G1_G3_together","20"
"sys.child5...530",0,"G1_G3_together","20"
"user.self6...531",45.682,"G1_G3_together","20"
"sys.self6...532",20.529,"G1_G3_together","20"
"elapsed6...533",150.339,"G1_G3_together","20"
"user.child6...534",0,"G1_G3_together","20"
"sys.child6...535",0,"G1_G3_together","20"
"user.self7...536",39.7560000000001,"G1_G3_together","20"
"sys.self7...537",17.468,"G1_G3_together","20"
"elapsed7...538",117.577,"G1_G3_together","20"
"user.child7...539",0,"G1_G3_together","20"
"sys.child7...540",0,"G1_G3_together","20"
"user.self8...541",41.983,"G1_G3_together","20"
"sys.self8...542",23.548,"G1_G3_together","20"
"elapsed8...543",177.399,"G1_G3_together","20"
"user.child8...544",0,"G1_G3_together","20"
"sys.child8...545",0,"G1_G3_together","20"
"user.self9...546",34.6660000000001,"G1_G3_together","20"
"sys.self9...547",7.482,"G1_G3_together","20"
"elapsed9...548",45.5349999999999,"G1_G3_together","20"
"user.child9...549",0,"G1_G3_together","20"
"sys.child9...550",0,"G1_G3_together","20"
"user.self...551",58.2900000000001,"G1_G3_together","60"
"sys.self...552",14.464,"G1_G3_together","60"
"elapsed...553",92.2260000000001,"G1_G3_together","60"
"user.child...554",0,"G1_G3_together","60"
"sys.child...555",0,"G1_G3_together","60"
"user.self1...556",41.673,"G1_G3_together","60"
"sys.self1...557",2.94099999999997,"G1_G3_together","60"
"elapsed1...558",46.4260000000004,"G1_G3_together","60"
"user.child1...559",0,"G1_G3_together","60"
"sys.child1...560",0,"G1_G3_together","60"
"user.self2...561",56.008,"G1_G3_together","60"
"sys.self2...562",14.33,"G1_G3_together","60"
"elapsed2...563",89.9570000000003,"G1_G3_together","60"
"user.child2...564",0,"G1_G3_together","60"
"sys.child2...565",0,"G1_G3_together","60"
"user.self3...566",56.88,"G1_G3_together","60"
"sys.self3...567",18.724,"G1_G3_together","60"
"elapsed3...568",99.3240000000001,"G1_G3_together","60"
"user.child3...569",0,"G1_G3_together","60"
"sys.child3...570",0,"G1_G3_together","60"
"user.self4...571",55.8669999999998,"G1_G3_together","60"
"sys.self4...572",14.712,"G1_G3_together","60"
"elapsed4...573",90.6300000000001,"G1_G3_together","60"
"user.child4...574",0,"G1_G3_together","60"
"sys.child4...575",0,"G1_G3_together","60"
"user.self5...576",37.8979999999999,"G1_G3_together","60"
"sys.self5...577",2.83699999999999,"G1_G3_together","60"
"elapsed5...578",42.6680000000001,"G1_G3_together","60"
"user.child5...579",0,"G1_G3_together","60"
"sys.child5...580",0,"G1_G3_together","60"
"user.self6...581",63.833,"G1_G3_together","60"
"sys.self6...582",19.377,"G1_G3_together","60"
"elapsed6...583",107.188,"G1_G3_together","60"
"user.child6...584",0,"G1_G3_together","60"
"sys.child6...585",0,"G1_G3_together","60"
"user.self7...586",68.196,"G1_G3_together","60"
"sys.self7...587",13.288,"G1_G3_together","60"
"elapsed7...588",100.944,"G1_G3_together","60"
"user.child7...589",0,"G1_G3_together","60"
"sys.child7...590",0,"G1_G3_together","60"
"user.self8...591",58.271,"G1_G3_together","60"
"sys.self8...592",14.091,"G1_G3_together","60"
"elapsed8...593",91.6290000000004,"G1_G3_together","60"
"user.child8...594",0,"G1_G3_together","60"
"sys.child8...595",0,"G1_G3_together","60"
"user.self9...596",34.6650000000001,"G1_G3_together","60"
"sys.self9...597",2.71000000000001,"G1_G3_together","60"
"elapsed9...598",39.038,"G1_G3_together","60"
"user.child9...599",0,"G1_G3_together","60"
"sys.child9...600",0,"G1_G3_together","60"
"user.self...601",69.807,"all_together","20"
"sys.self...602",29.424,"all_together","20"
"elapsed...603",215.754,"all_together","20"
"user.child...604",0,"all_together","20"
"sys.child...605",0,"all_together","20"
"user.self1...606",59.097,"all_together","20"
"sys.self1...607",6.68100000000004,"all_together","20"
"elapsed1...608",66.473,"all_together","20"
"user.child1...609",0,"all_together","20"
"sys.child1...610",0,"all_together","20"
"user.self2...611",77.402,"all_together","20"
"sys.self2...612",35.029,"all_together","20"
"elapsed2...613",274.587,"all_together","20"
"user.child2...614",0,"all_together","20"
"sys.child2...615",0,"all_together","20"
"user.self3...616",80.11,"all_together","20"
"sys.self3...617",35.42,"all_together","20"
"elapsed3...618",280.407,"all_together","20"
"user.child3...619",0,"all_together","20"
"sys.child3...620",0,"all_together","20"
"user.self4...621",76.903,"all_together","20"
"sys.self4...622",34.51,"all_together","20"
"elapsed4...623",264.292,"all_together","20"
"user.child4...624",0,"all_together","20"
"sys.child4...625",0,"all_together","20"
"user.self5...626",50.047,"all_together","20"
"sys.self5...627",5.298,"all_together","20"
"elapsed5...628",56.123,"all_together","20"
"user.child5...629",0,"all_together","20"
"sys.child5...630",0,"all_together","20"
"user.self6...631",85.2370000000001,"all_together","20"
"sys.self6...632",42.883,"all_together","20"
"elapsed6...633",216.665,"all_together","20"
"user.child6...634",0,"all_together","20"
"sys.child6...635",0,"all_together","20"
"user.self7...636",79.3570000000001,"all_together","20"
"sys.self7...637",37.163,"all_together","20"
"elapsed7...638",188.081,"all_together","20"
"user.child7...639",0,"all_together","20"
"sys.child7...640",0,"all_together","20"
"user.self8...641",57.0780000000001,"all_together","20"
"sys.self8...642",21.337,"all_together","20"
"elapsed8...643",112.044,"all_together","20"
"user.child8...644",0,"all_together","20"
"sys.child8...645",0,"all_together","20"
"user.self9...646",71.217,"all_together","20"
"sys.self9...647",26.515,"all_together","20"
"elapsed9...648",143.039,"all_together","20"
"user.child9...649",0,"all_together","20"
"sys.child9...650",0,"all_together","20"
"user.self...651",96.085,"all_together","60"
"sys.self...652",14.359,"all_together","60"
"elapsed...653",129.52,"all_together","60"
"user.child...654",0,"all_together","60"
"sys.child...655",0,"all_together","60"
"user.self1...656",71.2540000000001,"all_together","60"
"sys.self1...657",6.67099999999999,"all_together","60"
"elapsed1...658",79.4920000000002,"all_together","60"
"user.child1...659",0,"all_together","60"
"sys.child1...660",0,"all_together","60"
"user.self2...661",99.453,"all_together","60"
"sys.self2...662",21.246,"all_together","60"
"elapsed2...663",143.362,"all_together","60"
"user.child2...664",0,"all_together","60"
"sys.child2...665",0,"all_together","60"
"user.self3...666",85.697,"all_together","60"
"sys.self3...667",19.356,"all_together","60"
"elapsed3...668",126.7,"all_together","60"
"user.child3...669",0,"all_together","60"
"sys.child3...670",0,"all_together","60"
"user.self4...671",88.3809999999999,"all_together","60"
"sys.self4...672",15.809,"all_together","60"
"elapsed4...673",124.27,"all_together","60"
"user.child4...674",0,"all_together","60"
